entry_date,expiry_date,direction,strike,entry_premium,exit_premium,exit_date,exit_reason,pnl_pts,pnl_pct,spot_at_entry,bull_score,bear_score
2022-09-12,2022-09-15,CALL,17900.0,142.26307500000001,5.192200000000001,2022-09-15,stop,-137.070875,-0.9635028274202564,17890.849609375,4,2
2022-11-07,2022-11-10,CALL,18200.0,91.086425,43.784225000000006,2022-11-09,stop,-47.3022,-0.5193111926392983,18211.75,4,2
2022-11-14,2022-11-17,CALL,18400.0,60.4906,1.9470750000000001,2022-11-17,stop,-58.543525,-0.9678119410288542,18376.400390625,5,1
2022-11-28,2022-12-01,CALL,18450.0,165.79832500000003,366.49942500000003,2022-12-01,target,200.7011,1.2105134355247555,18430.55078125,4,2
2023-01-16,2023-01-19,CALL,18050.0,40.310375,73.53952500000001,2023-01-17,target,33.22915000000001,0.8243324454312323,18033.150390625,4,2
2023-01-23,2023-02-02,CALL,18100.0,198.29700000000003,81.97685,2023-01-25,stop,-116.32015000000003,-0.5865956116330555,18118.44921875,5,1
2023-02-20,2023-02-23,CALL,17950.0,51.52717500000001,28.557100000000002,2023-02-21,stop,-22.970075000000005,-0.44578564611780097,17965.55078125,4,2
2023-04-10,2023-04-13,CALL,17650.0,59.53917500000001,162.106475,2023-04-12,target,102.56729999999999,1.722685945849938,17634.900390625,5,1
2023-04-17,2023-04-20,CALL,17850.0,22.583825,8.137775000000001,2023-04-18,stop,-14.44605,-0.639663564520182,17863.0,4,2
2023-05-22,2023-05-25,PUT,18200.0,27.591325,13.529675000000001,2023-05-23,stop,-14.06165,-0.5096402583058262,18201.099609375,2,4
2023-05-29,2023-06-01,CALL,18600.0,79.168575,25.461750000000002,2023-05-31,stop,-53.706825,-0.6783856473354485,18619.150390625,5,1
2023-06-19,2023-06-22,CALL,18850.0,43.96585,0.349475,2023-06-22,stop,-43.616375000000005,-0.9920512170241221,18873.30078125,4,2
2023-06-26,2023-06-29,CALL,18700.0,73.059425,7.295000000000001,2023-06-29,expiry_fallback,-65.764425,-0.9001497753369945,18682.349609375,4,2
2023-07-03,2023-07-06,CALL,19250.0,118.47745,246.779275,2023-07-06,target,128.301825,1.0829218977957409,19246.5,6,0
2023-07-17,2023-07-20,CALL,19600.0,143.064275,381.377075,2023-07-20,target,238.31279999999998,1.6657743521224986,19612.150390625,5,1
2023-07-31,2023-08-03,PUT,19650.0,35.853699999999996,144.932275,2023-08-02,target,109.078575,3.042324083706842,19666.349609375,2,4
2023-09-04,2023-09-07,CALL,19550.0,57.28580000000001,180.22925,2023-09-07,target,122.94345,2.1461418012840876,19525.05078125,5,1
2023-09-11,2023-09-14,CALL,19900.0,133.349725,200.049475,2023-09-14,expiry,66.69975,0.500186633305768,19890.0,4,2
2023-09-25,2023-09-28,PUT,19700.0,74.66182500000001,35.7463,2023-09-27,stop,-38.91552500000001,-0.5212238650742868,19678.19921875,2,4
2023-10-09,2023-10-12,PUT,19550.0,99.999775,29.106275,2023-10-10,stop,-70.8935,-0.708936595107339,19539.44921875,2,4
2023-10-16,2023-10-19,CALL,19750.0,82.37337500000001,23.86415,2023-10-18,stop,-58.509225000000015,-0.7102929192836885,19737.25,4,2
2023-10-23,2023-10-26,PUT,19500.0,244.51622500000002,645.4304,2023-10-26,target,400.91417499999994,1.6396219719161782,19521.599609375,1,5
2024-01-08,2024-01-11,CALL,21750.0,29.644400000000005,0.149775,2024-01-11,stop,-29.494625000000006,-0.994947612365236,21747.599609375,4,2
2024-01-15,2024-01-18,CALL,22050.0,148.672675,78.98134999999999,2024-01-16,stop,-69.691325,-0.4687567839887189,22053.150390625,4,2
2024-02-19,2024-02-22,CALL,22100.0,146.66967499999998,45.132200000000005,2024-02-21,stop,-101.53747499999997,-0.6922867661634894,22103.44921875,4,2
2024-03-04,2024-03-07,CALL,22400.0,122.032775,70.8935,2024-03-05,stop,-51.139275,-0.41906180532238163,22403.5,5,1
2024-03-11,2024-03-14,CALL,22500.0,60.54067500000001,3.994,2024-03-13,stop,-56.54667500000001,-0.9340278250944509,22517.5,6,0
2024-04-01,2024-04-04,CALL,22450.0,126.239075,51.872075,2024-04-03,stop,-74.36699999999999,-0.5890965218178286,22455.0,4,2
2024-04-08,2024-04-18,CALL,22600.0,234.05055000000002,102.74565000000001,2024-04-12,stop,-131.3049,-0.5610108585517103,22578.349609375,4,2
2024-07-08,2024-07-11,CALL,24350.0,96.64475,53.569525,2024-07-10,stop,-43.075225,-0.44570682835849856,24329.44921875,6,0
2024-08-19,2024-08-22,CALL,24650.0,70.7059,137.34367500000002,2024-08-21,target,66.63777500000002,0.9424641366562058,24636.349609375,4,2
2024-08-26,2024-08-29,CALL,24900.0,194.39115,266.749275,2024-08-29,expiry,72.358125,0.3722295227946334,24906.099609375,5,1
