n_signals,combo,n,acc,avg_ret_pct,p_value,acc_pre2022,acc_post2022,stability
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_gap_up+bin_pcr,32,0.6875,0.1986024620422428,0.031530415301233745,0.6666666666666666,0.7272727272727273,0.06060606060606066
4,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5,32,0.6875,0.16401890816102951,0.031530415301233745,0.5789473684210527,0.8461538461538461,0.2672064777327935
5,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_prior_week_bull+bin_pcr,67,0.6865671641791045,0.21647276491746142,0.0017248890149201112,0.627906976744186,0.7916666666666666,0.16375968992248058
5,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_consec_up+bin_pcr,67,0.6865671641791045,0.21647276491746142,0.0017248890149201112,0.627906976744186,0.7916666666666666,0.16375968992248058
4,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_above_ema200,38,0.6842105263157895,0.23812317025449356,0.02101178643816911,0.631578947368421,0.7368421052631579,0.10526315789473684
5,bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5+bin_above_ema200+bin_pcr,60,0.6833333333333333,0.20887730454846745,0.0036552063318781437,0.6585365853658537,0.7368421052631579,0.07830551989730417
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_rsi_5+bin_gap_up,41,0.6829268292682927,0.13678411367225193,0.017185769454168876,0.6666666666666666,0.7,0.033333333333333326
4,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_above_ema200,44,0.6818181818181818,0.23423201718992034,0.014072400865939461,0.6551724137931034,0.7333333333333333,0.07816091954022986
4,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_pcr,69,0.6811594202898551,0.20558055800264705,0.0020544217097420853,0.6363636363636364,0.76,0.12363636363636366
5,bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_above_ema200+bin_pcr,50,0.68,0.18729323552379618,0.00946412270197537,0.6111111111111112,0.8571428571428571,0.24603174603174593
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_gap_up+bin_above_ema200,28,0.6785714285714286,0.04061834495348463,0.05717911812715479,0.5625,0.8333333333333334,0.27083333333333337
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_crude_oil_ret5+bin_prior_week_bull,28,0.6785714285714286,0.2203627484498772,0.05717911812715479,0.625,0.75,0.125
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10,28,0.6785714285714286,0.21096707606294207,0.05717911812715479,0.6,0.875,0.275
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_above_ema200,28,0.6785714285714286,0.2189169069748531,0.05717911812715479,0.5625,0.8333333333333334,0.27083333333333337
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_crude_oil_ret5+bin_consec_up,28,0.6785714285714286,0.2203627484498772,0.05717911812715479,0.625,0.75,0.125
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_prior_week_bull,28,0.6785714285714286,0.26021780518177434,0.05717911812715479,0.6,0.875,0.275
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_consec_up,28,0.6785714285714286,0.26021780518177434,0.05717911812715479,0.6,0.875,0.275
5,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret5+bin_rsi_5+bin_above_ema200,59,0.6779661016949152,0.20287767824772934,0.005253244280745601,0.6666666666666666,0.6923076923076923,0.02564102564102566
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_crude_oil_ret5+bin_prior_week_bull+bin_pcr,59,0.6779661016949152,0.12594632236671294,0.005253244280745601,0.6153846153846154,0.8,0.18461538461538463
5,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_crude_oil_ret5+bin_consec_up+bin_pcr,59,0.6779661016949152,0.12594632236671294,0.005253244280745601,0.6153846153846154,0.8,0.18461538461538463
5,bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_consec_up+bin_pcr,62,0.6774193548387096,0.12861017334195654,0.0043235584683930855,0.6216216216216216,0.76,0.1383783783783784
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_above_ema200+bin_pcr,31,0.6774193548387096,0.10725273516413886,0.046284419539423305,0.631578947368421,0.75,0.11842105263157898
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_consec_up,31,0.6774193548387096,0.02402665749008274,0.046284419539423305,0.5882352941176471,0.7857142857142857,0.19747899159663862
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_prior_week_bull,31,0.6774193548387096,0.02402665749008274,0.046284419539423305,0.5882352941176471,0.7857142857142857,0.19747899159663862
4,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5,31,0.6774193548387096,0.02402665749008274,0.046284419539423305,0.5882352941176471,0.7857142857142857,0.19747899159663862
4,bin_pcr_vs_avg+bin_crude_oil_ret10+bin_gap_up+bin_pcr,62,0.6774193548387096,0.14658717059870255,0.0043235584683930855,0.6341463414634146,0.7619047619047619,0.12775842044134722
